moduleId,tDiff,tSync,timeOffsetL,timeOffsetR,effectiveSpeed,pedestalL,pedestalR,energyGainL,energyGainR,lightAtt,PMTSatL,PMTSatR,PMTThresL,PMTThresR
675,-8.73423,-60.1644,64.5315,55.7972,-7.97633,21,14,14.7176,15.1586,353.953,0.0257558,0.0265276,1.01487,1.04321
676,-9.9584,-59.4684,64.4476,54.4892,-7.80021,26,14,12.6629,14.3864,411.183,0.02216,0.0251762,1.03587,1.20268
677,-8.76324,-60.2932,64.6748,55.9115,-8.00426,17,15,14.8204,15.4179,353.03,0.0259356,0.0269812,1.2197,1.25459
678,-9.04913,-59.6936,64.2182,55.1691,-7.7812,14,16,15.0282,14.7445,397.783,0.0262993,0.0258029,0.84055,1.05416
679,-128.51,-1.20578,65.461,-63.0494,-7.99061,19,14,14.5491,16.007,350.228,0.025461,0.0280122,1.19427,1.21553
680,-126.829,-1.38961,64.8041,-62.0249,-7.97064,18,14,14.1997,14.4783,381.039,0.0248495,0.025337,0.746045,0.987928
681,-6.71023,60.7947,-57.4395,-64.1498,-7.99493,16,17,16.2553,14.7583,351.939,0.0284468,0.0258271,1.13411,1.2868
682,-4.49638,62.1921,-59.9439,-64.4403,-7.75113,16,23,14.9469,14.7899,361.07,0.026157,0.0258824,1.14373,0.917939
683,-6.424,60.4437,-57.2317,-63.6557,-8.04993,16,17,15.7511,15.4356,348.046,0.0275644,0.0270123,1.32379,1.24167
684,-3.61233,60.5878,-58.7817,-62.394,-7.976,17,19,13.9883,15.8915,442.508,0.0244795,0.0278102,1.14447,0.834358
685,-7.77898,60.8929,-57.0034,-64.7824,-8.02312,13,16,15.517,14.9542,359.598,0.0271547,0.0261699,1.24522,1.26977
686,-6.48332,59.5731,-56.3314,-62.8148,-7.88253,13,17,15.4956,15.7147,353.493,0.0271173,0.0275008,1.09993,0.99341
687,-6.5541,60.8009,-57.5238,-64.0779,-8.01552,12,16,17.0841,16.1012,333.477,0.0298972,0.0281771,1.26861,1.19143
688,-5.3849,61.9828,-59.2904,-64.6753,-7.90465,17,14,14.3972,15.5293,355.896,0.0251951,0.0271763,0.937672,1.10893
689,-6.03291,60.6286,-57.6121,-63.645,-7.95267,21,17,14.3504,15.1237,343.48,0.0251131,0.0264664,1.17426,1.26177
690,-7.74401,60.2799,-56.4079,-64.1519,-7.86097,14,13,17.146,15.8928,340.421,0.0300055,0.0278124,0.942063,0.907901
691,-5.07932,61.3683,-58.8286,-63.9079,-7.97725,14,19,16.6798,16.1758,327.617,0.0291896,0.0283076,1.07875,0.933311
692,-3.1858,61.1314,-59.5385,-62.7243,-7.75146,15,11,15.4168,17.0639,330.811,0.0269794,0.0298618,1.07812,1.0603
693,-3.39749,60.2323,-58.5336,-61.9311,-7.99822,19,20,14.5389,14.2201,354.832,0.0254431,0.0248853,1.14584,1.08664
694,-7.66543,60.84,-57.0073,-64.6728,-7.78627,18,16,15.9669,15.6495,338.369,0.027942,0.0273865,0.685397,0.674881
695,-4.17061,60.2147,-58.1294,-62.3,-8.02604,20,15,16.0889,15.6364,330.798,0.0281555,0.0273638,1.15451,1.14958
696,-4.06724,60.1802,-58.1466,-62.2138,-7.80852,18,13,16.4229,17.3469,291.102,0.02874,0.0303571,0.765584,0.920329
697,-5.86235,60.7002,-57.7691,-63.6314,-7.99588,14,19,17.8376,17.1594,303.116,0.0312158,0.0300289,1.26373,1.20655
698,-5.08793,61.9548,-59.4108,-64.4987,-7.83037,18,16,15.5868,15.1736,341.34,0.027277,0.0265538,0.956683,0.95871
699,-5.93156,60.9273,-57.9615,-63.8931,-8.02794,21,15,15.7468,16.0164,327.828,0.0275568,0.0280287,1.43726,1.53128
700,-3.84216,60.1899,-58.2688,-62.111,-7.92641,13,13,15.2188,16.1143,336.293,0.026633,0.0282,1.25533,1.03653
701,118.792,2.97163,-62.3674,56.4242,-8.08469,13,15,18.5399,18.0361,283.505,0.0324448,0.0315631,1.24665,1.3464
702,118.436,2.96699,-62.1848,56.2508,-8.02686,14,16,20.2585,18.0992,257.336,0.0354524,0.0316735,1.13774,1.22173
703,119.672,2.9551,-62.7913,56.8811,-7.97828,15,18,17.7614,17.2055,285.255,0.0310825,0.0301095,1.09856,1.13439
704,119.468,4.07532,-63.8091,55.6585,-7.96692,14,19,17.6244,16.3866,288.185,0.0308427,0.0286766,1.21326,0.978129
705,120.771,0.960428,-61.3458,59.4249,-8.00994,21,16,17.1956,19.0156,278.76,0.0300922,0.0332772,0.963331,0.961532
